ISBN,タイトル,タイトルカナ,サブタイトル,巻,作者1,作者1カナ,作者2,作者2カナ,その他の作者,分類コード,分類,発行所,レーベル,シリーズ,サイズ,リンク,備考1,備考2,,購入/未購入,定価,消費税,購入価格,消費税,初版発行日:年,初版発行日:月,初版発行日:日,版,発行:年,発行:月,発行:日,発売予定日:年,発売予定日:月,発売予定日:日,ページ数,内容,画像,備考1,備考2,,保管場所,貸出場所,貸出日:年,貸出日:月,貸出日:日,既読/未読,読書開始日:年,読書開始日:月,読書開始日:日,読書終了日:年,読書終了日:月,読書終了日:日,備考1:年,備考1:月,備考1:日,備考2:年,備考2:月,備考2:日,備考3:年,備考3:月,備考3:日,備考4:年,備考4:月,備考4:日,備考5,備考6,備考7,,,
9784798061702,実践Rustプログラミング入門,,,"ONLY ONE","初田 直也",,,,,,,秀和システム,,,単行本,https://www.amazon.co.jp/dp/4798061700?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,3960,0,,0,2020,08,22,,,,,2020,08,22,508,,https://m.media-amazon.com/images/I/51zJzyivFfL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,09,22,,,,,,
9784797327038,増補改訂版Java言語で学ぶデザインパターン入門,,,"ONLY ONE","結城 浩",,,,,,,ソフトバンククリエイティブ,,,大型本,https://www.amazon.co.jp/dp/4797327030?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,4180,0,,0,2004,06,19,,,,,2004,06,19,484,,https://m.media-amazon.com/images/I/51QsmvkObML._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,09,22,,,,,,
9784798119762,"独習C++ 第4版",,,"ONLY ONE",ハーバート・シルト,,,,,,,翔泳社,,,大型本,https://www.amazon.co.jp/dp/4798119768?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,3520,0,,0,2010,10,20,,,,,2010,10,20,568,,https://m.media-amazon.com/images/I/514lw8+TntL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,09,22,,,,,,
9784798115771,"独習C 第4版",,,"ONLY ONE",ハーバート・シルト,,,,,,,翔泳社,,,大型本,https://www.amazon.co.jp/dp/4798115770?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,3300,0,,0,2007,12,06,,,,,2007,12,06,528,,https://m.media-amazon.com/images/I/51rzqNQSPYL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,09,22,,,,,,
9784798059129,"VisualC#2019パーフェクトマスター (Perfect Master)",,,"ONLY ONE","俊哉， 金城",,,,,,,秀和システム,,,単行本,https://www.amazon.co.jp/dp/4798059129?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,3520,0,,0,2019,10,19,,,,,2019,10,19,784,,https://m.media-amazon.com/images/I/51ddH4DObiL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,09,22,,,,,,
9784152090904,進化の存在証明,,,"ONLY ONE",リチャード・ドーキンス,,,,,,,早川書房,,,単行本,https://www.amazon.co.jp/dp/4152090901?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,3080,0,,0,2009,11,20,,,,,2009,11,20,637,,https://m.media-amazon.com/images/I/41X-OKewywL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,09,22,,,,,,
9784814003013,学術書を読む,,,"ONLY ONE","哲也， 鈴木",,,,,,,京都大学学術出版会,,,単行本,https://www.amazon.co.jp/dp/4814003013?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1650,0,,0,2020,10,10,,,,,2020,10,10,128,,https://m.media-amazon.com/images/I/51HkUGhGrEL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,09,22,,,,,,
9784130633765,"読む・打つ・書く: 読書・書評・執筆をめぐる理系研究者の日々",,,"ONLY ONE","三中 信宏",,,,,,,東京大学出版会,,,単行本,https://www.amazon.co.jp/dp/4130633767?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,3080,0,,0,2021,06,19,,,,,2021,06,19,352,,https://m.media-amazon.com/images/I/51TvR-nYBzS._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,09,22,,,,,,
9784860114459,"マルジナリアでつかまえて 書かずば読めぬの巻",,,"ONLY ONE",山本貴光,,,,,,,本の雑誌社,,,単行本（ソフトカバー）,https://www.amazon.co.jp/dp/4860114450?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,2200,0,,0,2020,07,31,,,,,2020,07,31,320,,https://m.media-amazon.com/images/I/4162U0tZV2L._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,09,22,,,,,,
978-4000069731,"データ解析のための統計モデリング入門――一般化線形モデル・階層ベイズモデル・MCMC (確率と情報の科学)",,,"ONLY ONE","久保 拓弥",,,,,,,岩波書店,,,単行本,https://www.amazon.co.jp/dp/400006973X?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,4180,0,,0,2012,05,19,,,,,2012,05,19,272,,https://m.media-amazon.com/images/I/51eyDJSmLvL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,10,03,,,,,,
978-4860644987,一般相対性理論を一歩一歩数式で理解する,,,"ONLY ONE","俊全， 石井",,,,,,,ベレ出版,,,単行本,https://www.amazon.co.jp/dp/4860644980?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,3850,0,,0,2017,03,27,,,,,2017,03,27,671,,https://m.media-amazon.com/images/I/51qGgaAOn3L._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,10,03,,,,,,
978-4798169958,"「ゆる副業」のはじめかた アフィリエイトブログ スキマ時間で自分の「好き」をお金に変える!",,,"ONLY ONE",ヒトデ,,,,,,,翔泳社,,,単行本（ソフトカバー）,https://www.amazon.co.jp/dp/4798169951?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,2116,0,,0,2021,08,05,,,,,2021,08,05,224,,https://m.media-amazon.com/images/I/51n2RZKa-YL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,10,03,,,,,,
